"cluster","cluster.size","study","group"
130,1,"30718501_Roberts-S_psychotic_experiences_dnam_measured_at_age_15-17_and_pyschotic_experiences_at_age_12",NA
131,1,"30718501_Roberts-S_psychotic_experiences_dnam_measured_at_age_15-17_and_pyschotic_experiences_at_age_18",NA
132,1,"30718501_Roberts-S_psychotic_experiences_dnam_measured_at_age_7_and_pyschotic_experiences_at_age_12",NA
133,1,"30718501_Roberts-S_psychotic_experiences_dnam_measured_at_birth_and_pyschotic_experiences_at_age_12",NA
134,1,"30905381_Dunn-E_financial_stress_adversity_was_experienced_between_ages_8_months_and_7_years_old","age"
135,1,"30905381_Dunn-E_maternal_psychopathology_adversity_was_experienced_between_ages_8_months_and_6_years_old","age"
136,1,"30905381_Dunn-E_neighhorhood_disadvantage_adversity_was_experienced_between_ages_1_5_years_and_7_years_old","age"
137,1,"30905381_Dunn-E_sexual_and_physical_abuse_adversity_was_experienced_between_ages_1_5_years_old_and_6_65_old_years_old","age"
138,1,"30905381_Dunn-E_single_parent_household_adversity_was_experienced_between_ages_8_months_and_7_years_old","age"
139,1,"30925934_Cardenas-A_maternal_antidepressant_use","neurological"
140,1,"31004082_Everson-TM_atypical_nicu_network_neurobehavioural_scale_profile","neurological"
141,1,"31004082_Everson-TM_optimal_nicu_network_neurobehavioural_scale_profile",NA
142,1,"31039828_Johansson-A_estimated_lifetime_esterogen_exposure","other"
143,1,"31076557_Taylor-DL_skeletal_muscle_fiber_type","other"
144,1,"31139831_Barfield-R_sleepiness_meta_analysis","other"
145,1,"31148503_Gruzieva-H._particulate_matter_≤10_um__pm10__discovery_and_replication","diet_environment"
146,1,"31208937_Gondalia-R._particulate_matter_2_5-10_um__pm2_5-10__discovery_and_replication","diet_environment"
147,1,"31208937_Gondalia-R._particulate_matter_≤10_um__pm10__discovery_and_replication","diet_environment"
148,1,"31208937_Gondalia-R._particulate_matter__2_5um__pm2_5__discovery_and_replication",NA
149,2,"31282290_Huan-T_mir-100-5p","other"
149,2,"31282290_Huan-T_mir-125b-5p","other"
150,1,"31282290_Huan-T_mir-133a","other"
151,2,"24014485_Petersen-A-K_m33447_palmitoleate_16_1n7_snps_as_covariates_model","other"
151,2,"31282290_Huan-T_mir-151a-5p",NA
152,1,"31282290_Huan-T_mir-191-3p",NA
153,1,"31282290_Huan-T_mir-296-5p",NA
154,11,"31282290_Huan-T_mir-127-3p","other"
154,11,"31282290_Huan-T_mir-134","other"
154,11,"31282290_Huan-T_mir-370","other"
154,11,"31282290_Huan-T_mir-376a-3p","other"
154,11,"31282290_Huan-T_mir-382-5p","other"
154,11,"31282290_Huan-T_mir-409-3p","other"
154,11,"31282290_Huan-T_mir-411-3p","other"
154,11,"31282290_Huan-T_mir-543","other"
154,11,"31282290_Huan-T_mir-654-5p","other"
154,11,"31282290_Huan-T_mir-668","other"
154,11,"33752734_Yao-C_gene_expression_of_affymetrix_id__3579546__gene_symbol__wars__meta-analysis","other"
155,1,"31282290_Huan-T_mir-885-5p",NA
156,1,"31282290_Huan-T_mir-99b-5p",NA
157,1,"31346403_Massrali-A_autistic_traits_autism_traits_measured_by_the_children’s_communication_checklist_at_age_8",NA
158,2,"31424985_Agha-G_coronary_heart_disease_meta_analysis","cardiometabolic"
158,2,"31424985_Agha-G_myocardial_infarction_meta_analysis","cardiometabolic"
159,1,"31450665_Hong-Y_non_small_cell_lung_carcinoma",NA
160,1,"31450665_Hony-Y_advanced_stage_non_small_cell_lung_carcinoma","age"
161,1,"31477683_Starnawska-A_depression_paired_analysis",NA
162,1,"31509016_Laubach-ZM_socioeconomic_position","sep"
163,1,"31594917_Ju-C_response_to_antidepressants_responders_vs_non-responders","neurological"
164,2,"31601636_Howe-C_gestational_diabetes_mellitus_predo_analysis",NA
164,2,"31601636_Howe-C_gestational_diabetes_mellitus_predo_analysis__adjusted_for_parity",NA
165,2,"31601636_Howe-C_gestational_diabetes_mellitus_project_viva_analysis","cardiometabolic"
165,2,"31601636_Howe-C_gestational_diabetes_mellitus_project_viva_analysis_adjusted_for_parity","cardiometabolic"
166,9,"31744183_Odintsova-VV_breastfeeding_discovery__adjusted_model__only_children_older_than_10","perinatal"
166,9,"31744183_Odintsova-VV_breastfeeding_discovery__adjusted_model__only_children_younger_than_10","perinatal"
166,9,"31744183_Odintsova-VV_breastfeeding_discovery__adjusted_model__total_sample","perinatal"
166,9,"31744183_Odintsova-VV_breastfeeding_discovery__basic_model__only_children_younger_than_10","perinatal"
166,9,"31744183_Odintsova-VV_breastfeeding_discovery__basic_model__total_sample",NA
166,9,"31744183_Odintsova-VV_breastfeeding_duration_discovery__adjusted_model__only_children_younger_than_10","perinatal"
166,9,"31744183_Odintsova-VV_breastfeeding_duration_discovery__adjusted_model__total_sample","perinatal"
166,9,"31744183_Odintsova-VV_breastfeeding_duration_discovery__basic_model__only_children_younger_than_10",NA
166,9,"31744183_Odintsova-VV_breastfeeding_duration_discovery__basic_model__total_sample",NA
167,1,"31791327_Vries-M_fev1_fvc_meta-analysis",NA
168,1,"31851703_Battram-T_leptin_ewas_catalog_re-analysis_of_geo_data__geo_accession_id_is_gse129841",NA
169,2,"31892350_McCartney-DL_age-by-sex_interaction_discovery_using_moment__mixed_linear_model-based_method_","age"
169,2,"31892350_McCartney-DL_age-by-sex_interaction_replication_using_moment__mixed_linear_model-based_method_","age"
170,3,"31892367_Geurtsen-ML_liver_fat_basic_model","cardiometabolic"
170,3,"31892367_Geurtsen-ML_liver_fat_child_bmi_model",NA
170,3,"31892367_Geurtsen-ML_liver_fat_main_model_with_liver_fat_as_a_binary_variable",NA
171,1,"31892367_Geurtsen-ML_liver_fat_main_model",NA
172,2,"31910897_Cronjé-HT_alcohol_consumption","alcohol"
172,2,"31910897_Cronjé-HT_c-reactive_protein",NA
173,2,"31910897_Cronjé-HT_low_density_lipoprotein_cholesterol",NA
173,2,"31910897_Cronjé-HT_total_cholesterol",NA
174,1,"31910897_Cronjé-HT_triglycerides",NA
175,2,"31910897_Cronjé-HT_body_mass_index_na",NA
175,2,"31910897_Cronjé-HT_waist_cicumference",NA
176,1,"31915053_Caramaschi-D_seizures_dnam_measured_at_adolescence_and_seizures_at_13_years",NA
177,1,"31915053_Caramaschi-D_seizures_dnam_measured_in_childhood_and_seizures_at_8_years","neurological"
178,1,"32066674_Mooney-M._attention_deficit_hyperactivity_disorder_adhd-by-sex_interactions",NA
179,1,"32066674_Mooney-M._attention_deficit_hyperactivity_disorder_adhd_prs-by-sex_interactions",NA
180,1,"32066674_Mooney-M._attention_deficit_hyperactivity_disorder_adhd_vs__control",NA
181,12,"32078381_Workalemahu-T_change_in_maternal_diastolic_blood_pressure_across_pregnancy","cardiometabolic"
181,12,"32078381_Workalemahu-T_change_in_maternal_diastolic_blood_pressure_between_first_and_second_trimester",NA
181,12,"32078381_Workalemahu-T_change_in_maternal_diastolic_blood_pressure_between_second_and_third_trimester","cardiometabolic"
181,12,"32078381_Workalemahu-T_change_in_maternal_systolic_blood_pressure_across_pregnancy","cardiometabolic"
181,12,"32078381_Workalemahu-T_change_in_maternal_systolic_blood_pressure_between_first_and_second_trimester",NA
181,12,"32078381_Workalemahu-T_change_in_maternal_systolic_blood_pressure_between_second_and_third_trimester","cardiometabolic"
181,12,"32078381_Workalemahu-T_maternal_diastolic_blood_pressure_bp_measured_in_first_trimester","cardiometabolic"
181,12,"32078381_Workalemahu-T_maternal_diastolic_blood_pressure_bp_measured_in_second_trimester","cardiometabolic"
181,12,"32078381_Workalemahu-T_maternal_diastolic_blood_pressure_bp_measured_in_third_trimester","cardiometabolic"
181,12,"32078381_Workalemahu-T_maternal_systoic_blood_pressure_bp_measured_in_first_trimester","cardiometabolic"
181,12,"32078381_Workalemahu-T_maternal_systolic_blood_pressure_bp_measured_in_second_trimester","cardiometabolic"
181,12,"32078381_Workalemahu-T_maternal_systolic_blood_pressure_bp_measured_in_third_trimester","cardiometabolic"
182,1,"32188935_van-der-Laan-LC_perceived_discrimination","other"
183,305,"23177740_Battram-T_age_ewas_catalog_re-analysis_of_geo_data__geo_accession_id_is_gse40279","age"
183,305,"23332324_child_abuse","other"
183,305,"23334450_rheumatoid_arthritis","autoimmune"
183,305,"24014485_Petersen-A-K_m00054_tryptophan_no_snps_model","other"
183,305,"24014485_Petersen-A-K_m00054_tryptophan_snps_as_covariates_model","other"
183,305,"24014485_Petersen-A-K_m01299_tyrosine_no_snps_model","other"
183,305,"24014485_Petersen-A-K_m01299_tyrosine_snps_as_covariates_model","other"
183,305,"24014485_Petersen-A-K_m01336_palmitate_16_0_snps_as_covariates_model","other"
183,305,"24014485_Petersen-A-K_m01358_stearate_18_0_snps_as_covariates_model","other"
183,305,"24014485_Petersen-A-K_m12774_x-03094_no_snps_model","other"
183,305,"24014485_Petersen-A-K_m12774_x-03094_snps_as_covariates_model","other"
183,305,"24014485_Petersen-A-K_m15749_3-phenylpropionate_hydrocinnamate_no_snps_model","other"
183,305,"24014485_Petersen-A-K_m15749_3-phenylpropionate_hydrocinnamate_snps_as_covariates_model","other"
183,305,"24014485_Petersen-A-K_m17805_dihomo-linoleate_20_2n6_no_snps_model","other"
183,305,"24014485_Petersen-A-K_m17805_dihomo-linoleate_20_2n6_snps_as_covariates_model","other"
183,305,"24014485_Petersen-A-K_m21047_3-methyl-2-oxobutyrate_no_snps_model","other"
183,305,"24014485_Petersen-A-K_m21047_3-methyl-2-oxobutyrate_snps_as_covariates_model","other"
183,305,"24014485_Petersen-A-K_m27672_3-indoxyl_sulfate_no_snps_model","anthropometric"
183,305,"24014485_Petersen-A-K_m27672_3-indoxyl_sulfate_snps_as_covariates_model","anthropometric"
183,305,"24014485_Petersen-A-K_m32388_dodecanedioate_no_snps_model","other"
183,305,"24014485_Petersen-A-K_m32388_dodecanedioate_snps_as_covariates_model","other"
183,305,"24014485_Petersen-A-K_m32397_3-hydroxy-2-ethylpropionate_no_snps_model","other"
183,305,"24014485_Petersen-A-K_m32397_3-hydroxy-2-ethylpropionate_snps_as_covariates_model","other"
183,305,"24014485_Petersen-A-K_m32654_3-dehydrocarnitine__no_snps_model","other"
183,305,"24014485_Petersen-A-K_m32654_3-dehydrocarnitine__snps_as_covariates_model","other"
183,305,"24014485_Petersen-A-K_m32761_x-11444_no_snps_model","other"
183,305,"24014485_Petersen-A-K_m32761_x-11444_snps_as_covariates_model","other"
183,305,"24014485_Petersen-A-K_m33973_epiandrosterone_sulfate_no_snps_model","anthropometric"
183,305,"24014485_Petersen-A-K_m33973_epiandrosterone_sulfate_snps_as_covariates_model","anthropometric"
183,305,"24014485_Petersen-A-K_m34407_isovalerylcarnitine_no_snps_model","other"
183,305,"24014485_Petersen-A-K_m35718_dihomo-linolenate_20_3n3_or_n6_snps_as_covariates_model","other"
183,305,"24163245_age","age"
183,305,"24253112_chronic_kidney_disease","other"
183,305,"24561991_birth_weight","perinatal"
183,305,"24561991_birth_weight_adjusted_for_cell_counts","perinatal"
183,305,"24603599_Battram-T_frontotemporal_dementia_ewas_catalog_re-analysis_of_geo_data__geo_accession_id_is_gse53740","neurological"
183,305,"24603599_Battram-T_progressive_supranuclear_palsy_ewas_catalog_re-analysis_of_geo_data__geo_accession_id_is_gse53740","neurological"
183,305,"24603599_progressive_supranuclear_palsy",NA
183,305,"25003289_high_vs_low_risk_anal_cancer",NA
183,305,"25129075_alzheimers_disease_discovery","neurological"
183,305,"25129075_burden_of_neuritic_amyloid_plaques_discovery_model_1","neurological"
183,305,"25129075_burden_of_neuritic_amyloid_plaques_discovery_model_3","neurological"
183,305,"25129077_alzheimers_disease_braak_stage_crosscortex_model","age"
183,305,"25129077_alzheimers_disease_braak_stage_discovery_in_cerebellum",NA
183,305,"25129077_alzheimers_disease_braak_stage_discovery_in_entorhinal_cortex",NA
183,305,"25129077_alzheimers_disease_braak_stage_discovery_in_prefrontal_cortex",NA
183,305,"25129077_alzheimers_disease_braak_stage_discovery_in_superior_temporal_gyrus",NA
183,305,"25129077_alzheimers_disease_braak_stage_replication_in_prefrontal_cortex",NA
183,305,"25129077_alzheimers_disease_braak_stage_replication_in_superior_temporal_gyrus",NA
183,305,"25282492_Battram-T_age_ewas_catalog_re-analysis_of_geo_data__geo_accession_id_is_gse61278__compared_fetal_liver_tissue_to_adult_liver_tissue_of_different_individuals","age"
183,305,"25282492_fetal_vs_adult_liver","other"
183,305,"25324151_migration_in_italy_southtonorth_migrants_vs_southern_natives","other"
183,305,"25324151_migration_in_italy_southtonorth_migrants_vs_southern_natives_adjusted_for_diet","other"
183,305,"25404168_age_monocytes","age"
183,305,"25404168_age_t_cells","age"
183,305,"25650246_gestational_age","age"
183,305,"25855720_maternal_underweight_adolescence","perinatal"
183,305,"25855720_maternal_underweight_birth","perinatal"
183,305,"25888029_ageing","age"
183,305,"25888029_Battram-T_age_ewas_catalog_re-analysis_of_geo_data__geo_accession_id_is_gse58888__compared_nonagenarians_to_adults_aged_19-30","age"
183,305,"26192630_autoantibody_production_in_systemic_lupus_erythematosus_combined","autoimmune"
183,305,"26192630_autoantibody_production_in_systemic_lupus_erythematosus_discovery","autoimmune"
183,305,"26192630_autoantibody_production_in_systemic_lupus_erythematosus_linear_regression_model","autoimmune"
183,305,"26192630_autoantibody_production_in_systemic_lupus_erythematosus_replication","autoimmune"
183,305,"26244061_breast_cancer","cancer"
183,305,"26292806_atopy_discovery","autoimmune"
183,305,"26292806_atopy_replication",NA
183,305,"26292806_high_serum_immunoglobulin_e",NA
183,305,"26635906_Battram-T_oral_or_pharyngeal_squamous_cell_carcinoma_ewas_catalog_re-analysis_of_geo_data__geo_accession_id_is_gse70977","cancer"
183,305,"26731791_air_pollution_exposure_28day_trailing_average_particle_matter_concentration","age"
183,305,"26731791_air_pollution_exposure_2day_trailing_average_particle_matter_concentration","age"
183,305,"26731791_air_pollution_exposure_7day_trailing_average_particle_matter_concentration","age"
183,305,"26743604_Battram-T_psoriasis_ewas_catalog_re-analysis_of_geo_data__geo_accession_id_is_gse73894","autoimmune"
183,305,"26857698_primary_sjogrens_syndrome_cd19_b_cells","autoimmune"
183,305,"26857698_primary_sjogrens_syndrome_whole_blood","autoimmune"
183,305,"26953979_25hydroxyvitamin_d_in_pregnancy_crude_model",NA
183,305,"26953979_25hydroxyvitamin_d_in_pregnancy_full_model",NA
183,305,"26973132_season_of_birth_discovery","perinatal"
183,305,"27105112_hiv_infection_discovery","other"
183,305,"27105112_hiv_infection_neutrophils","other"
183,305,"27142338_smoking_current_vs_never_smoking","smoking"
183,305,"27217153_attention_deficit_hyperactivity_disorder_trajectory_birth","neurological"
183,305,"27236499_cow_milk_allergy_discovery","other"
183,305,"27564456_chronic_obstructive_pulmonary_disease",NA
183,305,"27572077_schizophrenia_phase_1","neurological"
183,305,"27572077_schizophrenia_phase_2","neurological"
183,305,"27572077_schizophrenia_phase_3","neurological"
183,305,"27717397_gestational_age_last_menstrual_periodestimated_gestational_age","age"
183,305,"27717397_gestational_age_ultrasoundestimated_gestational_age","age"
183,305,"27891191_birth_weightforgestational_age","age"
183,305,"27993549_Battram-T_total_body_naevus_count_ewas_catalog_re-analysis_of_geo_data__geo_accession_id_is_gse90124","anthropometric"
183,305,"28056824_age_4_vs_age_0","age"
183,305,"28069425_total_serum_ige_discovery","cardiometabolic"
183,305,"28069425_total_serum_ige_discovery_adjusted_for_cell_counts","cardiometabolic"
183,305,"28069425_total_serum_ige_puerto_ricans_only","cardiometabolic"
183,305,"28069425_total_serum_ige_puerto_ricans_only_adjusted_for_cell_counts","cardiometabolic"
183,305,"28074145_lupus_nephritis_vs_lupus_without_nephritis_discovery","autoimmune"
183,305,"28213390_serum_lowdensity_lipoprotein_cholesterol_discovery","cardiometabolic"
183,305,"28213390_serum_lowdensity_lipoprotein_cholesterol_discovery_adjusted_for_bmi","cardiometabolic"
183,305,"28213390_serum_lowdensity_lipoprotein_cholesterol_discovery_and_replication","cardiometabolic"
183,305,"28213390_serum_lowdensity_lipoprotein_cholesterol_discovery_and_replication_adjusted_for_bmi","cardiometabolic"
183,305,"28213390_serum_lowdensity_lipoprotein_cholesterol_replication",NA
183,305,"28213390_serum_lowdensity_lipoprotein_cholesterol_replication_adjusted_for_bmi",NA
183,305,"28213390_serum_total_cholesterol_discovery","cardiometabolic"
183,305,"28213390_serum_total_cholesterol_discovery_adjusted_for_bmi","cardiometabolic"
183,305,"28213390_serum_total_cholesterol_discovery_and_replication","cardiometabolic"
183,305,"28213390_serum_total_cholesterol_discovery_and_replication_adjusted_for_bmi","cardiometabolic"
183,305,"28264723_birth_weight","perinatal"
183,305,"28475762_rheumatoid_arthritis_discovery","autoimmune"
183,305,"28475762_rheumatoid_arthritis_discovery_and_replication","autoimmune"
183,305,"28515798_myocardial_infarction","cardiometabolic"
183,305,"28515798_myocardial_infarction_model_2","cardiometabolic"
183,305,"28550290_nonsyndromic_cleft_lip_and_palate_discovery","other"
183,305,"28558807_utero_arsenic_exposure_discovery","perinatal"
183,305,"28595673_earlyonset_conduct_problems","neurological"
183,305,"28603561_cleft_palate_vs_cleft_lip","other"
183,305,"28603561_cleft_palate_vs_cleft_lip_palate",NA
183,305,"28693600_age","age"
183,305,"28785368_attention_deficit_hyperactivity_disorder_longterm_prenatal_exposure_to_paracetamol_versus_controls","perinatal"
183,305,"28785368_attention_deficit_hyperactivity_disorder_longterm_prenatal_exposure_to_paracetamol_versus_sporadic_prenatal_exposure_to_paracetamol","perinatal"
183,305,"28809857_grandmaternal_exposure_to_intimate_partner_violence",NA
183,305,"28811542_age","age"
183,305,"29016858_Sharp-GC_maternal_body_mass_index_meta-analysis","anthropometric"
183,305,"29016858_Sharp-GC_maternal_body_mass_index_meta-analysis_adjusted_for_cell_composition","anthropometric"
183,305,"29016858_Sharp-GC_maternal_overweight_obesity_meta-analysis","cardiometabolic"
183,305,"29016858_Sharp-GC_maternal_overweight_obesity_meta-analysis_adjusted_for_cell_composition","cardiometabolic"
183,305,"29325449_Marzi-SJ_childhood_sexual_victimization","sex"
183,305,"29383109_Battram-T_age_ewas_catalog_re-analysis_of_geo_data__geo_accession_id_is_gse101961","age"
183,305,"29410382_Lichtenfels-AJ_nitrogen_dioxide_exposure","other"
183,305,"29496485_Xu-C-J_asthma_discovery_adjusted_for_cell_composition_excluding_eosinophils_at_age_5",NA
183,305,"29496485_Xu-C-J_asthma_discovery_adjusted_for_cell_composition_excluding_eosinophils_at_age_8","age"
183,305,"29496485_Xu-C-J_asthma_discovery_adjusted_for_cell_composition_including_eosinophils_at_age_8",NA
183,305,"29496485_Xu-C-J_asthma_meta-analysis_of_discovery_and_replication_at_age_5","age"
183,305,"29496485_Xu-C-J_asthma_meta-analysis_of_discovery_and_replication_at_age_8","age"
183,305,"29550519_Battram-T_alzheimer_s_disease_ewas_catalog_re-analysis_of_geo_data__geo_accession_id_is_gse80970","neurological"
183,305,"30101351_Chamberlain-JA_vitamin_b12_intake",NA
183,305,"30264654_Wang-Y_aging","age"
183,305,"30291105_Battram-T_age_ewas_catalog_re-analysis_of_geo_data__geo_accession_id_is_gse113904","age"
183,305,"30343628_Carmona-JJ_lung_function_decline_discovery__fev1__lung_function_decline_in_this_paper_is_defined_as_a_decrease_in_fev1_between_visits_","other"
183,305,"30343628_Carmona-JJ_lung_function_decline_discovery__fvc__lung_function_decline_in_this_paper_is_defined_as_a_decrease_in_fvc_between_visits_","other"
183,305,"30579849_Reese-SE_asthma_meta-analysis_with_dnam_measured_in_children","other"
183,305,"30602389_Battram-T_tissue_ewas_catalog_re-analysis_of_geo_data__geo_accession_id_is_gse124366__tissue_types_are_buccal_epithelial_cells_and_peripheral_blood_mononuclear_cells","tissue"
183,305,"30736859_Lund-JB_mortality_cox_regression","other"
183,305,"30931802_Neumeyer-S_estrogen_receptor_beta_expression_in_colorectal_cancer_high_vs_low_expression_discovery","cancer"
183,305,"30966880_Hannon-E_birthweight","perinatal"
183,305,"30966880_Hannon-E_gestational_age","age"
183,305,"30989176_Xu-Z_breast_cancer_case_vs_control_discovery","cancer"
183,305,"30989176_Xu-Z_breast_cancer_case_vs_control_replication","cancer"
183,305,"31015461_Kupers-L_birthweight_meta_analysis_all_ancestries","perinatal"
183,305,"31015461_Kupers-L_birthweight_meta_analysis_european_ancestry_only","ancestry"
183,305,"31015461_Kupers-L_birthweight_meta_analysis_high_vs_normal_birthweight","perinatal"
183,305,"31230546_Kazmi-N_hypertensive_disorders_of_pregnancy_meta_analysis_adjusted_model","perinatal"
183,305,"31230546_Kazmi-N_hypertensive_disorders_of_pregnancy_meta_analysis_unadjusted_model","perinatal"
183,305,"31230546_Kazmi-N_preeclampsia_meta_analysis_unadjusted_model","perinatal"
183,305,"31282290_Huan-T_mir-29a-3p",NA
183,305,"31282290_Huan-T_mir-30a-3p",NA
183,305,"31282290_Huan-T_mir-329",NA
183,305,"31324826_Shiau-S_perinatally_acquired_hiv","perinatal"
183,305,"31426852_Tajuddin-SM_age_in_african_american_individuals","age"
183,305,"31426852_Tajuddin-SM_age_in_white_individuals","age"
183,305,"31461406_Lee-Y_leukocyte_telomere_length_african_female_meta-analysis","other"
183,305,"31461406_Lee-Y_leukocyte_telomere_length_african_male_meta-analysis","other"
183,305,"31461406_Lee-Y_leukocyte_telomere_length_european_female_meta-analysis","other"
183,305,"31461406_Lee-Y_leukocyte_telomere_length_european_male_meta-analysis","other"
183,305,"31461406_Lee-Y_leukocyte_telomere_length_global_meta-analysis","other"
183,305,"31506065_Jansen-R_age_females_only__methylspectrum_to_derive_cell_composition","age"
183,305,"31506065_Jansen-R_age_females_only__reffreeewas_to_derive_cell_composition","age"
183,305,"31506065_Jansen-R_age_males_only__methylspectrum_to_derive_cell_composition","age"
183,305,"31600381_Kresovich-JK_parity","perinatal"
183,305,"31892350_McCartney-DL_age_discovery_using_moment__mixed_linear_model-based_method_","age"
183,305,"31892350_McCartney-DL_age_replication_using_moment__mixed_linear_model-based_method_","age"
183,305,"31910897_Cronjé-HT_age",NA
183,305,"31915053_Caramaschi-D_seizures_dnam_measured_at_adolescence_and_seizures_at_11_years","neurological"
183,305,"32190749_Chen-S_pubertal_timing_females_only_pt_measured_by_age_at_menarche","age"
183,305,"32190749_Chen-S_pubertal_timing_females_only_pt_measured_by_body_hair_growth","other"
183,305,"32190749_Chen-S_pubertal_timing_females_only_pt_measured_by_breast_growth","other"
183,305,"32190749_Chen-S_pubertal_timing_females_only_pt_measured_by_growth_spurt",NA
183,305,"32190749_Chen-S_pubertal_timing_females_only_pt_measured_by_skin_change","other"
183,305,"32190749_Chen-S_pubertal_timing_males_only_pt_measured_by_body_hair_growth",NA
183,305,"32190749_Chen-S_pubertal_timing_males_only_pt_measured_by_facial_hair_growth",NA
183,305,"32190749_Chen-S_pubertal_timing_males_only_pt_measured_by_growth_spurt",NA
183,305,"32190749_Chen-S_pubertal_timing_males_only_pt_measured_by_skin_change",NA
183,305,"32190749_Chen-S_pubertal_timing_males_only_pt_measured_by_voice_change","other"
183,305,"32202197_Soriano-Tarraga-C_ischaemic_stroke","cardiometabolic"
183,305,"32202197_Soriano-Tarraga-C_ischaemic_stroke_meta_analysis","cardiometabolic"
183,305,"32453742_NatriI-H_papuan_ancestry","ancestry"
183,305,"32484729_Eze-Inkenna_train_noise_pollution",NA
183,305,"33151971_Antoun-E_1-hour_glucose","cardiometabolic"
183,305,"33151971_Antoun-E_1-hour_glucose_adjusted_for_gestational_age_at_ogtt","age"
183,305,"33151971_Antoun-E_1-hour_glucose_adjusted_for_intervention","cardiometabolic"
183,305,"33151971_Antoun-E_2-hour_glucose",NA
183,305,"33151971_Antoun-E_gestational_diabetes_milletus","cardiometabolic"
183,305,"33151971_Antoun-E_gestational_diabetes_milletus_adjusted_for_bmi","cardiometabolic"
183,305,"33151971_Antoun-E_gestational_diabetes_milletus_adjusted_for_gestational_age_at_ogtt","age"
183,305,"33151971_Antoun-E_gestational_diabetes_milletus_adjusted_for_intervention","cardiometabolic"
183,305,"33184255_Neumann-A_adhd_at_birth","other"
183,305,"33257653_Zhang-L_alzheimers_disease_braak_stage_meta-analysis","age"
183,305,"33279932_Li-M_schizophrenia_adjusted_for_cell_composition","neurological"
183,305,"33279932_Li-M_schizophrenia_main","neurological"
183,305,"33338541_Xu-CJ_allergy_meta-analysis","other"
183,305,"33356526_Starling-PS_maternal_serum_perfluorodecanoate__pfda__discovery",NA
183,305,"33356526_Starling-PS_maternal_serum_perfluorononanoate__pfna__discovery",NA
183,305,"33356526_Starling-PS_maternal_serum_perfluorooctane_sulfonate__pfos__discovery",NA
183,305,"33356526_Starling-PS_maternal_serum_polyfluoroalkyl_exposure__pfoa__discovery","perinatal"
183,305,"33450751_Mulder-RH_age_model_1_with_age_as_a_fixed_effect","age"
183,305,"33450751_Mulder-RH_age_model_1_with_age_as_a_random_effect","age"
183,305,"33450751_Mulder-RH_age_model_2_at_6y_with_age_as_a_fixed_effect","age"
183,305,"33450751_Mulder-RH_age_model_2_at_6y_with_age_as_a_random_effect","age"
183,305,"33450751_Mulder-RH_age_model_2_at_9y_with_age_as_a_fixed_effect","age"
183,305,"33450751_Mulder-RH_age_model_2_at_9y_with_age_as_a_random_effect","age"
183,305,"33468710_Kachroo-P_age_adult_age","age"
183,305,"33517419_Sharp-G_maternal_body_mass_index_adjusted_for_paternal_bmi_using_cord_blood","anthropometric"
183,305,"33517419_Sharp-G_maternal_body_mass_index_adjusted_for_paternal_bmi_using_cord_blood_in_females_only","anthropometric"
183,305,"33517419_Sharp-G_maternal_body_mass_index_adjusted_for_paternal_bmi_using_cord_blood_in_males_only","anthropometric"
183,305,"33517419_Sharp-G_maternal_body_mass_index_unadjusted_for_paternal_bmi_using_cord_blood","anthropometric"
183,305,"33547282_Muskens-I_downs_syndrome","other"
183,305,"33547282_Muskens-I_downs_syndrome_basic_model_plus_birthweight_and_gestational_age_adjustment","age"
183,305,"33547282_Muskens-I_downs_syndrome_individuals_with_gata1_mutation_removed","other"
183,305,"33547282_Muskens-I_downs_syndrome_latino_individuals_only","other"
183,305,"33547282_Muskens-I_downs_syndrome_non-latino_individuals_only","other"
183,305,"33550919_Huang-R_body_mass_index","anthropometric"
183,305,"33550919_Huang-R_subcutaneous_fat_thickness","anthropometric"
183,305,"33564054_Kashima-K_birth_weight","perinatal"
183,305,"33564054_Kashima-K_gestational_age","age"
183,305,"33646943_Hannon-E_psychosis_fixed_effects_meta-analysis","other"
183,305,"33646943_Hannon-E_psychosis_random_effects_meta-analysis","other"
183,305,"33646943_Hannon-E_schizophrenia_fixed_effects_meta-analysis","neurological"
183,305,"33646943_Hannon-E_schizophrenia_random_effects_meta-analysis","neurological"
183,305,"33752734_Yao-C_gene_expression_of_affymetrix_id__2362351__gene_symbol__pyhin1__meta-analysis","other"
183,305,"33752734_Yao-C_gene_expression_of_affymetrix_id__2468351__gene_symbol__rsad2__meta-analysis","other"
183,305,"33752734_Yao-C_gene_expression_of_affymetrix_id__2620813__gene_symbol__ccr3__meta-analysis","other"
183,305,"33752734_Yao-C_gene_expression_of_affymetrix_id__2672016__gene_symbol__fyco1__meta-analysis","other"
183,305,"33752734_Yao-C_gene_expression_of_affymetrix_id__2675504__gene_symbol__cish__meta-analysis","other"
183,305,"33752734_Yao-C_gene_expression_of_affymetrix_id__2828479__gene_symbol__slc22a4__meta-analysis","other"
183,305,"33752734_Yao-C_gene_expression_of_affymetrix_id__2857416__gene_symbol__il6st__meta-analysis","other"
183,305,"33752734_Yao-C_gene_expression_of_affymetrix_id__2903219__gene_symbol__hla-drb6__meta-analysis","other"
183,305,"33752734_Yao-C_gene_expression_of_affymetrix_id__3421511__gene_symbol__lyz__meta-analysis","other"
183,305,"33752734_Yao-C_gene_expression_of_affymetrix_id__3665550__gene_symbol__fam65a__meta-analysis","other"
